id,limit,n_cc,inc0,w0,c0,safety_score,deg,female,age,deb0,del
299,10.853185,3,25,93.515625,13.006539,.8111791,4,1,41,0,0
300,3.7868967,2,5.145,43.75,9.265914,.39347926,2,0,27,0,0
301,.98782879,2,6,31.171875,6.0977736,1.4882684,3,0,22,0,0
302,5.625,3,3.9043424,51.953125,6.788424,.90420949,1,0,22,0,0
303,8.5155087,2,12.6,76.5625,7.0064793,.86330009,2,1,49,0,0
304,13.897663,3,3.5518186,69.768173,11.07604,.036565773,1,0,39,1.2951168,0
305,1.8389782,2,5,36.09375,10.455031,-.30168387,2,1,48,0,0
306,1.640625,3,6.7763109,105.58918,9.5902567,-.76465303,5,0,26,2.8449488,0
307,3.75,3,14.644831,202.62344,15.765609,-.38913602,2,0,57,2.4692104,0
308,3.7348609,2,3.8,20.78125,13.988768,-.97255075,3,0,46,0,0
309,3.125,3,4.1195474,39.375,7.8515348,.41251478,1,0,27,0,0
311,4.4115396,3,16,426.5625,9.5237942,.92508018,4,0,51,0,0
312,4.2005658,2,3.9106679,7.5238376,5.4759202,.77259988,3,0,22,3.592113,0
313,3.7669153,3,17.55011,68.0336,11.090594,.44643375,2,0,44,2.0168905,0
314,1.6211696,3,17.93235,138.14279,13.286852,1.4882684,3,0,42,2.0152178,0
315,37.5,3,13.147485,218.20313,14.923061,-1.1169184,4,0,46,0,0
316,9.375,3,12.655541,164.0625,13.868546,-.64398748,4,0,54,0,0
317,19.90947,3,31.5,65.625,19.00598,.58654666,2,1,36,0,0
318,2.8125,3,14.987097,348.08594,19.882427,1.1958058,3,0,31,0,0
319,.9375,1,10.340097,14.804602,8.6951389,.4862397,1,1,44,2.8643012,0
320,68.914963,3,3.78,20.78125,5.1098251,.14730673,5,0,38,0,0
321,3.9154735,2,5,16.40625,4.6271772,-.64789242,4,1,22,0,0
322,6.8313818,1,4.4344945,7.4616919,5.6611271,.84566331,1,0,21,3.5853686,0
323,7.8125,3,4.8202581,44.84375,8.2095623,-.23288885,2,0,27,0,0
324,7.6857257,3,3.5999999,467.57813,25.099531,-.24758342,1,0,39,0,0
326,16.101957,3,20.923937,146.41467,15.874886,-3.4180861,2,1,43,.77780205,0
328,14.140101,3,5,114.84375,7.302362,-.99235076,1,1,22,0,0
330,7.5,2,7.8380508,98.4375,7.761939,-.08437743,3,1,27,0,0
331,3.125,2,6.2882862,29.884666,9.9782372,-1.2067587,3,1,21,2.0135965,0
332,5.0461602,3,20.4,62.34375,31.155828,-.41525438,4,1,53,0,0
333,6.875,3,15.159231,10.29019,10.970025,-3.1621814,4,1,52,.97662503,0
334,18.883154,3,4.8041162,58.24617,14.539853,.84115005,2,0,43,2.5413759,0
335,5,2,9.1259995,4.5230894,10.528769,.90550655,2,0,44,2.6716666,0
336,11.21875,3,13.198078,29.53125,10.570072,-3.3440552,5,0,42,0,0
337,5,3,13.172081,76.5625,12.965591,.53729999,3,0,47,0,0
338,2.75,3,6.36481,114.84375,8.7268505,.42063797,4,1,21,0,0
339,8.28125,2,5.9916186,32.8125,5.3107958,.46309847,5,1,22,0,0
340,7.4885325,3,3.8093617,138.69357,9.8883524,.93316507,5,0,27,1.5548004,0
341,2.34375,3,10.080626,229.6875,8.9184532,-1.8373313,5,1,27,0,0
342,20.064627,2,10.176113,4.7517481,26.697557,-.43907061,4,0,39,.50970113,0
343,12.632455,3,39,77.929688,9.9678221,.81660289,5,1,42,0,0
344,20.153677,2,11.14257,38.244305,7.4284534,.3624624,3,1,57,1.6032407,0
345,4.8437386,3,16.799999,185.9375,14.049998,.84112662,1,1,51,0,0
346,11.834561,2,6.469223,22.840132,9.3491907,-.33950609,5,1,39,1.2426459,0
347,2.8209858,2,5,65.625,6.8618445,-.34016082,5,1,22,0,0
348,3.28125,2,9.9591589,36.367188,7.3442831,.62271827,2,1,34,0,0
349,2.3209612,3,20,462.38281,19.488153,.93239123,1,1,43,0,0
350,16.40625,3,9.9825583,109.375,8.9612112,-.30515769,5,0,36,0,0
352,7.375,3,11.082857,30.625,11.910093,-.54887992,1,1,43,0,0
353,4.4805789,3,10.5,120.3125,19.884968,-.17465486,4,1,56,0,0
354,2.34375,3,11.337358,120.3125,12.83705,.45895457,4,0,46,0,0
355,11.278058,3,7.8720694,139.42445,15.608171,-3.2755311,1,0,43,1.186759,0
356,1.875,3,16.393009,98.4375,11.83676,-.04790264,3,0,32,0,0
357,3.59375,3,9.6517773,147.65625,8.0679836,.24057333,4,1,28,0,0
